risk_band,total_loans,total_amount,actual_defaults,mean_score,mean_pd,pct_loans,pct_amount,actual_default_rate,expected_revenue,expected_loss,net_profit,net_margin_pct
Excellent,3196,39241800,224,774.7331038798499,0.060161565016083406,15.578085396763502,16.278512405522118,7.008760951188986,14127048.0,1416508.8612288851,12710539.138771115,32.390306099034994
Good,6824,80753975,876,719.4888628370458,0.09578293220890217,33.26184441411581,33.49883501349895,12.83704572098476,29071431.0,4640911.507814629,24430519.49218537,30.253024067465866
Moderate,6437,79953375,1123,676.0023302780799,0.13652202614645148,31.375511795671674,33.1667254509442,17.446015224483453,28783215.0,6549238.051348223,22233976.948651776,27.808678431212915
High Risk,3125,32099325,755,629.76128,0.19514815057769153,15.232014037824138,13.31562925812237,24.16,11555757.0,3758474.3451253544,7797282.654874645,24.291110965338508
Very High Risk,934,9016550,278,571.4593147751606,0.29443994473367013,4.552544355624878,3.7402978719123605,29.764453961456105,3245958.0,1592899.4902130242,1653058.5097869758,18.33360331597979
