cutoff,approval_rate_pct,approved_loans,approved_amount,portfolio_pd_pct,actual_bad_rate_pct,expected_revenue,expected_loss,net_profit,net_margin_pct
500,99.91226359914214,20498,240941125.0,12.687035620858309,15.835691286954825,86738805.0,18340971.812428046,68397833.18757196,28.387778627485016
510,99.85864690972899,20487,240873950.0,12.670478842352836,15.829550446624689,86714622.0,18311929.72289373,68402692.27710627,28.3977126945883
520,99.81477870930006,20478,240813350.0,12.657735207244873,15.816974313897841,86692806.0,18288909.71201749,68403896.28798251,28.405358875653075
530,99.70754533047378,20456,240647025.0,12.629050501805095,15.794876808760266,86632929.0,18234860.59100492,68398068.40899508,28.422569698916945
540,99.53694677325015,20421,240401650.0,12.587910869364233,15.777875716174528,86544594.0,18156927.258288577,68387666.74171142,28.447253478381462
550,99.25424059270813,20363,239847975.0,12.524951776280279,15.700044197809754,86345271.0,18024505.92308087,68320765.07691914,28.48502893423184
560,98.83505556638721,20277,239158925.0,12.441033286894868,15.623612960497116,86097213.0,17852304.88069796,68244908.11930203,28.535380027863077
570,98.46461298498733,20201,238302750.0,12.372900788791357,15.608138210979655,85788990.0,17690977.7006769,68098012.2993231,28.576259526725185
580,97.509261064535,20005,236518950.0,12.213722377286405,15.491127218195452,85146822.0,17332660.753603708,67814161.24639629,28.671766573628155
590,96.74400467927471,19848,234904675.0,12.096681925345736,15.366787585650949,84565683.0,17049402.817510284,67516280.18248972,28.741990844792564
600,95.44745564437513,19582,232048475.0,11.921812603640818,15.207843938310695,83537451.0,16598630.603463786,66938820.396536216,28.846912437815508
610,93.51725482550205,19186,228603400.0,11.690074503753612,14.94318774106119,82297224.0,16034344.66686833,66262879.33313167,28.985955297747836
620,90.77305517644764,18623,222963000.0,11.382866420450721,14.600225527573429,80266680.0,15227748.274217723,65038931.725782275,29.170280147729567
630,88.85260284655878,18229,218209350.0,11.199376533659922,14.356245542816392,78555366.0,14662852.042891106,63892513.95710889,29.280374079804044
640,85.8451939949308,17612,210511875.0,10.935478312311538,14.160799454917102,75784275.0,13812288.261279223,61971986.738720775,29.43871301261308
650,80.21544160655098,16457,199949150.0,10.479986470739862,13.507929756334692,71981694.0,12572786.321015611,59408907.67898439,29.71200811755608
660,76.77909923961785,15752,190181375.0,10.219900767874448,13.331640426612493,68465295.0,11661808.682387508,56803486.31761249,29.868059539275333
670,67.50828621563659,13850,169231625.0,9.600116307045937,12.339350180505415,60923385.0,9747859.696982296,51175525.303017706,30.239930215772436
680,63.10684343926691,12947,161573000.0,9.321580810510694,11.979609175870857,58166280.0,9036694.657779865,49129585.342220135,30.407051513693585
690,52.188535776954566,10707,127498700.0,8.644305924508258,11.216960866722705,45899532.0,6612826.606662606,39286705.39333739,30.813416445295044
700,48.83992981087931,10020,119995775.0,8.442106698452605,10.978043912175648,43198479.0,6078102.8154810695,37120376.18451893,30.93473598092844
710,39.14993176057711,8032,99588850.0,7.802299525521346,9.686254980079681,35851986.0,4662132.222613298,31189853.777386703,31.318620284687192
720,34.49502827061806,7077,88520950.0,7.520839699699497,9.325985587113184,31867542.0,3994511.2500906847,27873030.749909315,31.4874961801803
730,24.717293819457982,5071,59370150.0,6.802250540757998,8.49930980082824,21373254.0,2423103.8096543006,18950150.1903457,31.9186496755452
740,19.838175082862154,4070,49505975.0,6.388510199222291,7.73955773955774,17822151.0,1897616.5572596625,15924534.442740338,32.166893880466624
750,15.578085396763502,3196,39241800.0,6.01615650160834,7.008760951188986,14127048.0,1416508.8612288851,12710539.138771115,32.390306099034994
760,10.830571261454475,2222,25806725.0,5.533363928165006,5.985598559855985,9290421.0,856788.0073144443,8433632.992685556,32.679981643100994
770,7.837785143302788,1608,19637925.0,5.152347035146149,5.161691542288557,7069653.0,607088.4279010346,6462564.572098966,32.90859177891231
780,6.619224020276857,1358,16980925.0,5.014335850240539,5.08100147275405,6113133.0,510888.365986475,5602244.634013525,32.991398489855676
790,3.041528563072724,624,6657875.0,4.449808856693339,5.769230769230769,2396835.0,177757.62685054302,2219077.373149457,33.330114685984
800,1.676740105283681,344,4363225.0,4.08673487467415,2.9069767441860463,1570761.0,106988.06264130071,1463772.9373586993,33.54795907519551
